Make,model,year,engineSize,fuelType,transmission,mileage,mpg,tax,price
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,8693,26,570,96992
Lamborghini,Urus,2019,4,Petrol,Automatic,39498,22,650,219090
Land Rover,Range Rover Sport,2020,3,Diesel,Manual,26633,28,580,98091
Land Rover,Range Rover Sport,2022,3,Diesel,Semi-Automatic,14978,28,580,99344
Porsche,Cayenne,2020,3,Petrol,Manual,30496,26,570,98719
Mercedes-Benz,G Wagon,2022,4,Petrol,Manual,29698,20,630,180676
Land Rover,Range Rover Sport,2022,3,Diesel,Manual,12943,28,580,99246
BMW,M5 CS,2020,4.4,Petrol,Automatic,28853,25,600,165326
Land Rover,Range Rover Sport,2021,3,Diesel,Manual,22040,28,580,97722
Land Rover,Range Rover Sport,2021,3,Diesel,Manual,18322,28,580,94969
BMW,M5 CS,2022,4.4,Petrol,Automatic,33899,25,600,168100
Volvo,S90,2022,2,Hybrid,Manual,30054,45,320,50324
Porsche,Cayenne,2022,3,Petrol,Manual,8240,26,570,93657
Mercedes-Benz,G Wagon,2022,4,Petrol,Manual,19369,20,630,178954
BMW,M5 CS,2020,4.4,Petrol,Manual,22924,25,600,168060
Porsche,Cayenne,2019,3,Petrol,Manual,22946,26,570,95207
BMW,M5 CS,2023,4.4,Petrol,Automatic,20147,25,600,160799
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,30379,26,570,102331
Toyota,Land Cruiser,2022,3.3,Diesel,Manual,5915,27,560,91506
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,35576,28,580,95601
Land Rover,Range Rover Sport,2023,3,Diesel,Manual,35076,28,580,97693
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,10557,20,630,180013
Mercedes-Benz,G Wagon,2023,4,Petrol,Manual,7003,20,630,175523
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,34778,20,630,184939
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,11166,26,570,93958
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,32456,26,570,99661
Volvo,S90,2019,2,Hybrid,Manual,26274,45,320,48657
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,18061,26,570,97337
BMW,M5 CS,2019,4.4,Petrol,Automatic,18643,25,600,168173
Mercedes-Benz,G Wagon,2023,4,Petrol,Manual,17176,20,630,177693
Land Rover,Range Rover Sport,2021,3,Diesel,Manual,6439,28,580,95003
Toyota,Land Cruiser,2021,3.3,Diesel,Semi-Automatic,33627,27,560,87492
Lamborghini,Urus,2023,4,Petrol,Automatic,22995,22,650,224782
Lamborghini,Urus,2019,4,Petrol,Automatic,31449,22,650,219385
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,29762,26,570,96384
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,28284,28,580,97584
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,39989,26,570,98723
Toyota,Land Cruiser,2023,3.3,Diesel,Manual,23516,27,560,91331
BMW,M5 CS,2021,4.4,Petrol,Automatic,17760,25,600,162383
Toyota,Land Cruiser,2022,3.3,Diesel,Semi-Automatic,21886,27,560,84868
Lamborghini,Urus,2020,4,Petrol,Manual,31428,22,650,221811
Toyota,Land Cruiser,2020,3.3,Diesel,Semi-Automatic,10905,27,560,88399
Toyota,Land Cruiser,2022,3.3,Diesel,Semi-Automatic,21777,27,560,83675
Volvo,S90,2021,2,Hybrid,Semi-Automatic,36674,45,320,48056
Lamborghini,Urus,2020,4,Petrol,Automatic,22027,22,650,217784
Land Rover,Range Rover Sport,2022,3,Diesel,Semi-Automatic,18096,28,580,96099
BMW,M5 CS,2020,4.4,Petrol,Automatic,13423,25,600,162492
BMW,M5 CS,2022,4.4,Petrol,Automatic,17978,25,600,168190
Mercedes-Benz,G Wagon,2021,4,Petrol,Automatic,21193,20,630,183370
Porsche,Cayenne,2021,3,Petrol,Manual,5090,26,570,94967
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,24621,26,570,98025
Lamborghini,Urus,2021,4,Petrol,Automatic,15028,22,650,215492
BMW,M5 CS,2023,4.4,Petrol,Automatic,27821,25,600,168239
Porsche,Cayenne,2021,3,Petrol,Manual,6742,26,570,98406
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,31054,28,580,98171
BMW,M5 CS,2020,4.4,Petrol,Automatic,31246,25,600,160448
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,11139,26,570,99735
Mercedes-Benz,G Wagon,2021,4,Petrol,Automatic,31609,20,630,180062
Mercedes-Benz,G Wagon,2021,4,Petrol,Automatic,37434,20,630,184492
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,9512,28,580,96284
Toyota,Land Cruiser,2020,3.3,Diesel,Manual,39766,27,560,90578
BMW,M5 CS,2020,4.4,Petrol,Automatic,27046,25,600,168052
Porsche,Cayenne,2022,3,Petrol,Manual,22220,26,570,97856
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,11680,27,560,85613
BMW,M5 CS,2019,4.4,Petrol,Automatic,29069,25,600,166233
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,18222,26,570,96952
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,34021,26,570,96147
Land Rover,Range Rover Sport,2021,3,Diesel,Manual,31793,28,580,94459
Lamborghini,Urus,2020,4,Petrol,Manual,32062,22,650,224659
Toyota,Land Cruiser,2020,3.3,Diesel,Semi-Automatic,6110,27,560,89444
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,14217,26,570,102727
BMW,M5 CS,2021,4.4,Petrol,Automatic,35323,25,600,168237
Volvo,S90,2021,2,Hybrid,Semi-Automatic,11725,45,320,55869
BMW,M5 CS,2022,4.4,Petrol,Manual,14451,25,600,161929
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,20629,27,560,83847
Porsche,Cayenne,2020,3,Petrol,Semi-Automatic,9727,26,570,98889
Mercedes-Benz,G Wagon,2023,4,Petrol,Manual,10035,20,630,180676
BMW,M5 CS,2020,4.4,Petrol,Automatic,35319,25,600,167058
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,23545,20,630,177621
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,32452,20,630,184753
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,31942,28,580,95034
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,22169,26,570,98592
BMW,M5 CS,2019,4.4,Petrol,Automatic,27201,25,600,160585
Toyota,Land Cruiser,2021,3.3,Diesel,Semi-Automatic,5701,27,560,86874
Lamborghini,Urus,2022,4,Petrol,Manual,22578,22,650,222698
BMW,M5 CS,2019,4.4,Petrol,Automatic,26509,25,600,162663
Volvo,S90,2022,2,Hybrid,Semi-Automatic,9175,45,320,56646
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,5489,20,630,180973
Lamborghini,Urus,2022,4,Petrol,Automatic,23818,22,650,219453
Toyota,Land Cruiser,2020,3.3,Diesel,Manual,27247,27,560,82333
Porsche,Cayenne,2019,3,Petrol,Manual,15653,26,570,98499
Mercedes-Benz,G Wagon,2022,4,Petrol,Manual,19982,20,630,175497
BMW,M5 CS,2021,4.4,Petrol,Automatic,20510,25,600,164932
Toyota,Land Cruiser,2021,3.3,Diesel,Semi-Automatic,15272,27,560,87194
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,35934,28,580,90599
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,26708,20,630,176613
Toyota,Land Cruiser,2021,3.3,Diesel,Semi-Automatic,20485,27,560,90827
Volvo,S90,2022,2,Hybrid,Semi-Automatic,30810,45,320,55117
BMW,M5 CS,2022,4.4,Petrol,Automatic,32538,25,600,169612
Mercedes-Benz,G Wagon,2019,4,Petrol,Automatic,30975,20,630,178637
Lamborghini,Urus,2022,4,Petrol,Automatic,15059,22,650,223936
Mercedes-Benz,G Wagon,2021,4,Petrol,Automatic,13462,20,630,180399
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,10879,27,560,83309
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,21050,28,580,99360
Toyota,Land Cruiser,2021,3.3,Diesel,Semi-Automatic,14263,27,560,91292
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,25702,27,560,87822
Mercedes-Benz,G Wagon,2021,4,Petrol,Automatic,26859,20,630,178582
Volvo,S90,2022,2,Hybrid,Semi-Automatic,31212,45,320,50407
Mercedes-Benz,G Wagon,2021,4,Petrol,Manual,7892,20,630,184847
Lamborghini,Urus,2019,4,Petrol,Manual,17350,22,650,223085
Lamborghini,Urus,2022,4,Petrol,Automatic,25445,22,650,215781
Volvo,S90,2023,2,Hybrid,Semi-Automatic,10217,45,320,52939
Lamborghini,Urus,2021,4,Petrol,Manual,23227,22,650,217596
Lamborghini,Urus,2023,4,Petrol,Automatic,31143,22,650,224085
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,14929,28,580,94960
Lamborghini,Urus,2022,4,Petrol,Automatic,38313,22,650,216312
Lamborghini,Urus,2019,4,Petrol,Manual,37634,22,650,220131
Lamborghini,Urus,2021,4,Petrol,Automatic,14433,22,650,221663
Lamborghini,Urus,2022,4,Petrol,Manual,23162,22,650,223436
BMW,M5 CS,2022,4.4,Petrol,Automatic,35055,25,600,162023
BMW,M5 CS,2021,4.4,Petrol,Automatic,24832,25,600,162533
Land Rover,Range Rover Sport,2019,3,Diesel,Manual,36771,28,580,92380
Land Rover,Range Rover Sport,2022,3,Diesel,Semi-Automatic,23493,28,580,96762
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,23128,28,580,99702
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,32322,28,580,95362
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,5589,26,570,99115
Land Rover,Range Rover Sport,2022,3,Diesel,Semi-Automatic,28351,28,580,91864
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,15614,20,630,183294
Mercedes-Benz,G Wagon,2021,4,Petrol,Manual,32870,20,630,179518
Land Rover,Range Rover Sport,2020,3,Diesel,Manual,33657,28,580,95447
Toyota,Land Cruiser,2020,3.3,Diesel,Manual,12599,27,560,87798
Lamborghini,Urus,2020,4,Petrol,Automatic,12402,22,650,215675
Volvo,S90,2019,2,Hybrid,Semi-Automatic,21517,45,320,51964
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,13288,28,580,99930
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,7390,26,570,102152
Lamborghini,Urus,2021,4,Petrol,Automatic,34544,22,650,222434
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,28247,28,580,93939
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,10367,26,570,102179
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,12926,27,560,84722
Land Rover,Range Rover Sport,2019,3,Diesel,Manual,39845,28,580,99249
Mercedes-Benz,G Wagon,2022,4,Petrol,Manual,19010,20,630,177031
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,13761,28,580,98361
Volvo,S90,2020,2,Hybrid,Semi-Automatic,28357,45,320,52830
Lamborghini,Urus,2020,4,Petrol,Automatic,25214,22,650,219243
Mercedes-Benz,G Wagon,2023,4,Petrol,Manual,23228,20,630,175774
Land Rover,Range Rover Sport,2022,3,Diesel,Manual,21760,28,580,92750
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,27501,28,580,93208
Volvo,S90,2020,2,Hybrid,Manual,9300,45,320,56035
Volvo,S90,2023,2,Hybrid,Semi-Automatic,19046,45,320,49438
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,16611,27,560,84037
Toyota,Land Cruiser,2020,3.3,Diesel,Semi-Automatic,21736,27,560,85710
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,37528,28,580,96874
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,13304,26,570,93277
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,14631,20,630,176519
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,14402,28,580,95187
Volvo,S90,2019,2,Hybrid,Semi-Automatic,25751,45,320,51925
Mercedes-Benz,G Wagon,2020,4,Petrol,Manual,25796,20,630,182461
Land Rover,Range Rover Sport,2022,3,Diesel,Semi-Automatic,31889,28,580,97866
Volvo,S90,2021,2,Hybrid,Manual,16600,45,320,54163
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,11126,28,580,99688
Volvo,S90,2022,2,Hybrid,Semi-Automatic,31566,45,320,51400
Volvo,S90,2021,2,Hybrid,Semi-Automatic,16777,45,320,48629
Volvo,S90,2020,2,Hybrid,Semi-Automatic,16675,45,320,51764
Lamborghini,Urus,2020,4,Petrol,Manual,25289,22,650,216271
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,13538,20,630,183067
Toyota,Land Cruiser,2023,3.3,Diesel,Manual,14729,27,560,91562
Volvo,S90,2021,2,Hybrid,Semi-Automatic,27435,45,320,49825
BMW,M5 CS,2022,4.4,Petrol,Manual,34909,25,600,169149
Toyota,Land Cruiser,2022,3.3,Diesel,Semi-Automatic,33653,27,560,86979
BMW,M5 CS,2021,4.4,Petrol,Automatic,7408,25,600,164612
BMW,M5 CS,2020,4.4,Petrol,Automatic,27335,25,600,164813
Lamborghini,Urus,2022,4,Petrol,Automatic,16849,22,650,217149
Mercedes-Benz,G Wagon,2021,4,Petrol,Automatic,19292,20,630,184593
BMW,M5 CS,2023,4.4,Petrol,Manual,7160,25,600,168003
Volvo,S90,2020,2,Hybrid,Manual,37662,45,320,56968
Volvo,S90,2020,2,Hybrid,Semi-Automatic,24057,45,320,52564
Land Rover,Range Rover Sport,2023,3,Diesel,Semi-Automatic,29621,28,580,98804
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,16182,20,630,180053
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,5781,28,580,91729
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,22137,26,570,101784
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,16321,26,570,102503
Lamborghini,Urus,2020,4,Petrol,Automatic,11161,22,650,217279
BMW,M5 CS,2020,4.4,Petrol,Automatic,10254,25,600,163890
Mercedes-Benz,G Wagon,2023,4,Petrol,Manual,36951,20,630,182282
Lamborghini,Urus,2019,4,Petrol,Automatic,32975,22,650,220025
BMW,M5 CS,2022,4.4,Petrol,Manual,22445,25,600,165737
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,34330,26,570,95719
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,7697,28,580,98535
BMW,M5 CS,2019,4.4,Petrol,Automatic,16232,25,600,162657
Mercedes-Benz,G Wagon,2020,4,Petrol,Manual,27573,20,630,178155
Mercedes-Benz,G Wagon,2019,4,Petrol,Automatic,20631,20,630,181121
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,37020,26,570,93008
BMW,M5 CS,2020,4.4,Petrol,Automatic,33750,25,600,167048
Porsche,Cayenne,2022,3,Petrol,Semi-Automatic,23609,26,570,97337
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,35812,26,570,95631
BMW,M5 CS,2020,4.4,Petrol,Automatic,25698,25,600,166795
BMW,M5 CS,2020,4.4,Petrol,Automatic,16211,25,600,166196
Mercedes-Benz,G Wagon,2022,4,Petrol,Manual,17895,20,630,175917
Lamborghini,Urus,2023,4,Petrol,Manual,17871,22,650,224178
BMW,M5 CS,2019,4.4,Petrol,Automatic,23959,25,600,165835
Volvo,S90,2023,2,Hybrid,Semi-Automatic,34568,45,320,55435
Porsche,Cayenne,2023,3,Petrol,Manual,39444,26,570,94230
Land Rover,Range Rover Sport,2020,3,Diesel,Manual,32120,28,580,99494
Toyota,Land Cruiser,2019,3.3,Diesel,Semi-Automatic,29729,27,560,84195
Lamborghini,Urus,2019,4,Petrol,Manual,35036,22,650,224872
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,20782,28,580,93440
Volvo,S90,2021,2,Hybrid,Semi-Automatic,25093,45,320,49170
BMW,M5 CS,2023,4.4,Petrol,Manual,35349,25,600,161879
Toyota,Land Cruiser,2020,3.3,Diesel,Semi-Automatic,37861,27,560,82800
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,28704,27,560,87882
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,7131,27,560,83333
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,14102,28,580,99778
Volvo,S90,2022,2,Hybrid,Semi-Automatic,26125,45,320,52385
Mercedes-Benz,G Wagon,2021,4,Petrol,Manual,12090,20,630,181761
Mercedes-Benz,G Wagon,2022,4,Petrol,Manual,11735,20,630,179435
Toyota,Land Cruiser,2023,3.3,Diesel,Semi-Automatic,35948,27,560,84940
Toyota,Land Cruiser,2019,3.3,Diesel,Manual,33462,27,560,90217
Mercedes-Benz,G Wagon,2020,4,Petrol,Manual,20732,20,630,179353
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,12997,20,630,175789
Lamborghini,Urus,2020,4,Petrol,Automatic,36637,22,650,222868
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,12154,28,580,94811
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,13373,26,570,100509
Toyota,Land Cruiser,2020,3.3,Diesel,Semi-Automatic,6713,27,560,87863
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,10757,28,580,92859
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,29014,26,570,99468
BMW,M5 CS,2020,4.4,Petrol,Automatic,33747,25,600,166720
BMW,M5 CS,2020,4.4,Petrol,Manual,32635,25,600,160661
Toyota,Land Cruiser,2021,3.3,Diesel,Semi-Automatic,12117,27,560,82761
Lamborghini,Urus,2020,4,Petrol,Automatic,5653,22,650,215836
Mercedes-Benz,G Wagon,2019,4,Petrol,Automatic,14104,20,630,176813
Mercedes-Benz,G Wagon,2023,4,Petrol,Automatic,23980,20,630,181621
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,11410,26,570,100227
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,38223,26,570,94715
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,12513,20,630,183534
Toyota,Land Cruiser,2021,3.3,Diesel,Semi-Automatic,30162,27,560,89529
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,29476,26,570,96209
Porsche,Cayenne,2021,3,Petrol,Semi-Automatic,20559,26,570,102270
Porsche,Cayenne,2021,3,Petrol,Manual,23173,26,570,96690
BMW,M5 CS,2022,4.4,Petrol,Automatic,6230,25,600,169218
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,18076,20,630,181757
Lamborghini,Urus,2021,4,Petrol,Manual,39345,22,650,223005
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,21442,26,570,93445
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,39501,28,580,94843
Lamborghini,Urus,2023,4,Petrol,Automatic,11000,22,650,220434
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,24055,20,630,178151
BMW,M5 CS,2022,4.4,Petrol,Automatic,17065,25,600,162235
Volvo,S90,2021,2,Hybrid,Semi-Automatic,14950,45,320,52122
Lamborghini,Urus,2023,4,Petrol,Automatic,8673,22,650,220081
Volvo,S90,2019,2,Hybrid,Manual,30816,45,320,52834
Toyota,Land Cruiser,2022,3.3,Diesel,Semi-Automatic,32652,27,560,88900
Volvo,S90,2021,2,Hybrid,Semi-Automatic,29281,45,320,54731
Mercedes-Benz,G Wagon,2022,4,Petrol,Automatic,18963,20,630,176080
Mercedes-Benz,G Wagon,2019,4,Petrol,Manual,11804,20,630,180678
Toyota,Land Cruiser,2019,3.3,Diesel,Manual,36008,27,560,85411
Lamborghini,Urus,2021,4,Petrol,Automatic,30447,22,650,220760
Lamborghini,Urus,2021,4,Petrol,Automatic,10240,22,650,216522
Toyota,Land Cruiser,2022,3.3,Diesel,Manual,22485,27,560,86095
Porsche,Cayenne,2019,3,Petrol,Manual,12667,26,570,101435
Porsche,Cayenne,2022,3,Petrol,Manual,6253,26,570,95978
Volvo,S90,2021,2,Hybrid,Manual,21321,45,320,55340
Toyota,Land Cruiser,2022,3.3,Diesel,Manual,20176,27,560,89035
Volvo,S90,2020,2,Hybrid,Semi-Automatic,17893,45,320,54970
Volvo,S90,2022,2,Hybrid,Semi-Automatic,37913,45,320,52489
BMW,M5 CS,2020,4.4,Petrol,Automatic,14827,25,600,166194
Volvo,S90,2023,2,Hybrid,Semi-Automatic,36184,45,320,54315
Toyota,Land Cruiser,2023,3.3,Diesel,Manual,36258,27,560,89699
Toyota,Land Cruiser,2019,3.3,Diesel,Semi-Automatic,14939,27,560,87893
Lamborghini,Urus,2021,4,Petrol,Manual,30724,22,650,221204
Volvo,S90,2020,2,Hybrid,Manual,37516,45,320,53469
BMW,M5 CS,2021,4.4,Petrol,Manual,30363,25,600,166473
BMW,M5 CS,2019,4.4,Petrol,Manual,8821,25,600,161097
Porsche,Cayenne,2021,3,Petrol,Manual,15162,26,570,102900
Toyota,Land Cruiser,2020,3.3,Diesel,Manual,23053,27,560,84412
Volvo,S90,2023,2,Hybrid,Semi-Automatic,21782,45,320,56953
Lamborghini,Urus,2019,4,Petrol,Automatic,5469,22,650,218270
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,35845,26,570,102356
Porsche,Cayenne,2019,3,Petrol,Semi-Automatic,8826,26,570,99859
Lamborghini,Urus,2023,4,Petrol,Manual,38336,22,650,218143
Toyota,Land Cruiser,2020,3.3,Diesel,Semi-Automatic,9511,27,560,89510
Land Rover,Range Rover Sport,2020,3,Diesel,Semi-Automatic,25908,28,580,97367
Lamborghini,Urus,2021,4,Petrol,Automatic,29222,22,650,221592
Volvo,S90,2019,2,Hybrid,Semi-Automatic,22370,45,320,52464
Porsche,Cayenne,2023,3,Petrol,Semi-Automatic,5360,26,570,93335
BMW,M5 CS,2021,4.4,Petrol,Manual,34821,25,600,169817
Mercedes-Benz,G Wagon,2020,4,Petrol,Automatic,36230,20,630,184106
Lamborghini,Urus,2023,4,Petrol,Automatic,28668,22,650,215188
Land Rover,Range Rover Sport,2019,3,Diesel,Semi-Automatic,21058,28,580,90284
BMW,M5 CS,2023,4.4,Petrol,Automatic,9133,25,600,160525
Volvo,S90,2020,2,Hybrid,Manual,20216,45,320,55161
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,18768,28,580,95253
Lamborghini,Urus,2020,4,Petrol,Automatic,11595,22,650,221548
Land Rover,Range Rover Sport,2021,3,Diesel,Semi-Automatic,23585,28,580,93117
